epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
89,9399.88,1.16802,0.65629,0.0111,0.86,0.85294,0.89989,0.56376,1.35091,0.58864,0.01483,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,9502.76,1.17125,0.65294,0.011,0.85595,0.85681,0.90014,0.5649,1.35026,0.58883,0.01482,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,9602.17,1.1437,0.49625,0.01303,0.8751,0.8397,0.90138,0.56638,1.34888,0.5865,0.01479,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,9697.77,1.10513,0.46545,0.01242,0.87175,0.84747,0.90001,0.5653,1.34575,0.58591,0.01474,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,9791.46,1.08951,0.45659,0.01222,0.87448,0.8412,0.89774,0.56631,1.34052,0.58495,0.01469,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9886.46,1.07403,0.45378,0.01198,0.87303,0.84045,0.89867,0.56752,1.33864,0.58373,0.01467,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,9982.18,1.06733,0.45414,0.01184,0.87364,0.84366,0.89683,0.56731,1.33698,0.58207,0.01464,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,10075.6,1.06094,0.44365,0.01168,0.86914,0.84677,0.8955,0.56708,1.33641,0.57968,0.01467,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,10169.2,1.05669,0.44744,0.01159,0.86829,0.8472,0.89631,0.56671,1.33513,0.5812,0.01465,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,10264.7,1.04527,0.43676,0.01153,0.86932,0.84925,0.89817,0.56687,1.33406,0.58025,0.01465,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,10358.7,1.03358,0.43642,0.01136,0.86946,0.84932,0.89803,0.56721,1.33481,0.57976,0.01465,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,10453.5,1.03536,0.43849,0.01134,0.87297,0.84635,0.89797,0.56739,1.33442,0.58139,0.01465,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
